pipeline	subject	subject_label	predicate	object	object_label	asserted_by	status
disease	MP:0001963	abnormal hearing physiology	xref	MGI:2173555		MP	added
disease	MP:0001967	deafness	xref	Fyler:4868		MP	added
disease	MP:0001967	deafness	xref	GO:0007605		MP	added
disease	MP:0002001	blindness	xref	Fyler:4866		MP	added
disease	MP:0002060	abnormal skin morphology	xref	Fyler:4133		MP	added
disease	MP:0002061	abnormal aggression-related behavior	xref	MGI:2173566		MP	added
disease	MP:0002062	abnormal associative learning	xref	MGI:2173567		MP	added
disease	MP:0002063	abnormal learning/memory/conditioning	xref	MGI:2173568		MP	added
disease	MP:0002064	seizures	xref	MGI:2173569		MP	added
disease	MP:0002065	abnormal fear/anxiety-related behavior	xref	MGI:2173570		MP	added
disease	MP:0002066	abnormal motor capabilities/coordination/movement	xref	MGI:2173571		MP	added
disease	MP:0002067	abnormal sensory capabilities/reflexes/nociception	xref	MGI:2173572		MP	added
disease	MP:0002068	abnormal parental behavior	xref	MGI:2173573		MP	added
disease	MP:0002069	abnormal consumption behavior	xref	MGI:2173574		MP	added
disease	MP:0002073	abnormal hair growth	xref	MGI:2173539		MP	added
disease	MP:0002074	abnormal hair texture	xref	MGI:2173540		MP	added
disease	MP:0002075	abnormal coat/hair pigmentation	xref	MGI:2173541		MP	added
disease	MP:0002078	abnormal glucose homeostasis	xref	MGI:2173579		MP	added
disease	MP:0002080	prenatal lethality	xref	MGI:2173525		MP	added
disease	MP:0002081	perinatal lethality	xref	MGI:2173526		MP	added
disease	MP:0002082	postnatal lethality	xref	MGI:2173527		MP	added
disease	MP:0002083	premature death	xref	MGI:2173528		MP	added
disease	MP:0002084	abnormal developmental patterning	xref	MGI:2173529		MP	added
disease	MP:0002085	abnormal embryonic tissue morphology	xref	MGI:2173530		MP	added
disease	MP:0002086	abnormal extraembryonic tissue morphology	xref	MGI:2173531		MP	added
disease	MP:0002088	abnormal embryonic growth/weight/body size	xref	MGI:2173533		MP	added
disease	MP:0002089	abnormal postnatal growth/weight/body size	xref	GO:0040007		MP	added
disease	MP:0002089	abnormal postnatal growth/weight/body size	xref	GO:0040014		MP	added
disease	MP:0002089	abnormal postnatal growth/weight/body size	xref	MGI:2173534		MP	added
disease	MP:0002092	abnormal eye morphology	xref	Fyler:4863		MP	added
disease	MP:0002092	abnormal eye morphology	xref	GO:0001654		MP	added
disease	MP:0002092	abnormal eye morphology	xref	MGI:2173536		MP	added
disease	MP:0002095	abnormal skin pigmentation	xref	MGI:2173544		MP	added
disease	MP:0002098	abnormal vibrissa morphology	xref	MGI:2173547		MP	added
disease	MP:0002100	abnormal tooth morphology	xref	MGI:2173553		MP	added
disease	MP:0002102	abnormal ear morphology	xref	Fyler:4867		MP	added
disease	MP:0002102	abnormal ear morphology	xref	GO:0042471		MP	added
disease	MP:0002102	abnormal ear morphology	xref	MGI:2173556		MP	added
disease	MP:0002106	abnormal muscle physiology	xref	MGI:2173559		MP	added
disease	MP:0002108	abnormal muscle morphology	xref	MGI:2173558		MP	added
disease	MP:0002109	abnormal limb morphology	xref	MGI:2173549		MP	added
disease	MP:0002110	abnormal digit morphology	xref	MGI:2173550		MP	added
disease	MP:0002111	abnormal tail morphology	xref	MGI:2173551		MP	added
disease	MP:0002113	abnormal skeleton development	xref	MGI:2173561		MP	added
disease	MP:0002114	abnormal axial skeleton morphology	xref	MGI:2173562		MP	added
disease	MP:0002115	abnormal limb bone morphology	xref	MGI:2173563		MP	added
disease	MP:0002116	abnormal craniofacial bone morphology	xref	MGI:2173564		MP	added
disease	MP:0002118	abnormal lipid homeostasis	xref	MGI:2173578		MP	added
disease	MP:0002123	abnormal definitive hematopoiesis	xref	MGI:2173583		MP	added
disease	MP:0002127	abnormal cardiovascular system morphology	xref	MGI:2173587		MP	added
disease	MP:0002128	abnormal blood circulation	xref	MGI:2173588		MP	added
disease	MP:0002132	abnormal respiratory system morphology	xref	Fyler:4235		MP	added
disease	MP:0002132	abnormal respiratory system morphology	xref	MGI:2173592		MP	added
disease	MP:0002133	abnormal respiratory system physiology	xref	MGI:2173593		MP	added
